port,name,R_eff_ohm,C_eff_F,fit_resid_rel,f_min_Hz,Zmag_min_ohm,n_local_minima,n_local_maxima,ReZ_ii_ge0_all
1,Port1_SITE0::ADC_VDD_050_VDDQ_DDRH/0,0.0364890103399345,2.3647117409816704e-05,0.007350706722501259,3019951.72040202,0.005123912529092476,2,1,True
2,Port2_SITE0::ADC_VDD_050_VDDQ_DDRL/0,0.03627588889993288,2.3645865634269043e-05,0.007351343807788899,3311311.21482591,0.004637542550280607,2,1,True
3,Port3_SITE0::ADC_VDD_055_VTRIP/0,0.000490334545754231,0.0019201648808481022,0.00675998107817403,2511886.43150958,0.0001421445503186268,3,2,True
4,Port4_SITE0::ADC_VDD_070_VAON/0,0.01132849031857772,8.190973633711086e-05,0.007607237684643974,14800000.0,0.0015985391139100736,2,1,True
5,Port5_SITE0_1721::ADC_VDD_070_VDDA_DDRH_REF_CLK/0,0.16902612889213034,8.56738608638438e-06,0.010259445137839877,1096478.19614319,0.04395407382393043,3,2,True
6,Port6_SITE0_19216::ADC_VDD_070_VDDA_DDRL_REF_CLK/0,0.17178505824679002,8.568063214466686e-06,0.010258671885048413,1096478.19614319,0.046733711233445455,3,2,True
7,Port7_SITE0::ADC_VDD_070_VINT/0,0.001506745776197173,0.0006183104496051826,0.0067125381506290644,2511886.43150958,0.0004341994244706348,3,2,True
8,Port8_SITE0::ADC_VDD_070_VPDIG_PHY_PCI/0,0.1311614389192654,9.429629901085324e-06,0.009844426947364648,1445439.77074593,0.024316561948697808,3,2,True
9,Port9_SITE0::ADC_VDD_070_VP_AON/0,0.1644992227773486,8.567774602428255e-06,0.010259650973841633,1096478.19614319,0.03971835298629453,2,1,True
10,Port10_SITE0::ADC_VDD_070_VP_CAM0/0,0.15829967822443436,8.568958626262814e-06,0.010260347940583451,1202264.43461741,0.03409997942763247,2,1,True
11,Port11_SITE0::ADC_VDD_070_VP_CAM12/0,0.1483406790009928,8.56889830402588e-06,0.010260540010856058,1318256.73855641,0.024466981436999574,2,1,True
12,Port12_SITE0::ADC_VDD_070_VP_HSIO/0,0.15260504022685653,8.56890983677614e-06,0.010259164058834251,1318256.73855641,0.027959860205528063,3,2,True
13,Port13_SITE0::ADC_VDD_070_VP_PCI/0,0.024326323811545186,3.355013615461228e-05,0.006866354424640668,3019951.72040202,0.0035372022077846486,2,1,True
14,Port14_SITE0::ADC_VDD_075_VAON_SRAM/0,0.035913143828010176,2.364532165163926e-05,0.007350940229388081,3630780.54770102,0.004467088828791374,2,1,True
15,Port15_SITE0::ADC_VDD_075_VCPU/0,0.004794146865687611,0.00019716052127629485,0.007284332532965669,1445439.77074593,0.001096000138125985,2,1,True
16,Port16_SITE0::ADC_VDD_075_VINT_SRAM/0,0.011317897620197878,7.787124403393645e-05,0.007703924517023764,3981071.70553497,0.001173839601007462,2,1,True
17,Port17_SITE0::ADC_VDD_075_VP_UFS/0,0.15582850502975235,8.568083496974475e-06,0.010260781056355566,1202264.43461741,0.03164034441872068,2,2,True
18,Port18_SITE0::ADC_VDD_075_VTRIP_SRAM/0,0.003355167893824524,0.00026194238251532864,0.006893966391869558,1584893.19246111,0.0007347290521639194,2,1,True
19,Port19_SITE0::ADC_VDD_105_VAA_DDRH/0,0.14155786458446187,8.569069201931036e-06,0.010261304187390284,1584893.19246111,0.01887652634761375,3,2,True
20,Port20_SITE0::ADC_VDD_105_VAA_DDRL/0,0.14461059420905936,8.568721880703858e-06,0.010259854972569121,1445439.77074593,0.020175501685199958,3,2,True
21,Port21_SITE0::ADC_VDD_105_VDD2H_DDRH/0,0.144036569908262,8.569069081245336e-06,0.01025948098835059,1445439.77074593,0.01971862966458184,3,2,True
22,Port22_SITE0::ADC_VDD_105_VDD2H_DDRL/0,0.1434852657597585,8.56878897754416e-06,0.010259765181980135,1445439.77074593,0.0190650442742377,3,3,True
23,Port23_SITE0::ADC_VDD_120_VDDA_LSIO/0,0.16708824422645296,8.567321929603878e-06,0.010259774726698206,1096478.19614319,0.04215500377922018,3,3,True
24,Port24_SITE0::ADC_VDD_120_VDDA_P_CL1_M/0,0.16350531113572422,8.56764026032942e-06,0.010259532953324444,1202264.43461741,0.03851556113001525,3,3,False
25,Port25_SITE0::ADC_VDD_120_VDDA_P_CL1_P/0,0.16153815836198893,8.567761659881297e-06,0.01025952451974508,1202264.43461741,0.03653512959887638,3,2,False
26,Port26_SITE0::ADC_VDD_120_VDDA_P_CL2_M/0,0.143175657702349,8.568418007818099e-06,0.010262101485416859,1445439.77074593,0.020411418127785266,3,2,True
27,Port27_SITE0::ADC_VDD_120_VDDA_P_CL2_P/0,0.14414073721647033,8.569868360702951e-06,0.010259934957969188,1445439.77074593,0.020643403186401198,2,1,True
28,Port28_SITE0::ADC_VDD_120_VDDA_P_CL3_M/0,0.15004086873417566,8.569038216243474e-06,0.010259345752595014,1318256.73855641,0.025596021892164325,3,2,True
29,Port29_SITE0::ADC_VDD_120_VDDA_P_CL3_P/0,0.14804032252425117,8.569379220535789e-06,0.010260714877679463,1445439.77074593,0.024666764165457586,3,2,True
30,Port30_SITE0::ADC_VDD_120_VDDA_P_CL4_M/0,0.12613407011642647,9.434334071057514e-06,0.0098410566451529,3981071.70553497,0.018263212214671955,3,2,True
31,Port31_SITE0::ADC_VDD_120_VDDA_P_CL4_P/0,0.14783723024858778,8.568735547122793e-06,0.01026200119297157,1445439.77074593,0.02475219380004248,3,2,True
32,Port32_SITE0::ADC_VDD_120_VDDA_P_CL5_M/0,0.14880560847383903,8.569232532013415e-06,0.010262252686726949,1445439.77074593,0.025247746419591256,2,1,True
33,Port33_SITE0::ADC_VDD_120_VDDA_P_CL5_P/0,0.16798038072000734,8.567229052953363e-06,0.010261702049017643,1202264.43461741,0.04352021470031273,1,1,False
34,Port34_SITE0::ADC_VDD_120_VPH_AON/0,0.15365594101827382,8.567880012801677e-06,0.010261868319349334,1318256.73855641,0.029903349249274524,3,3,False
35,Port35_SITE0::ADC_VDD_120_VPH_CAM/0,0.14785509031396482,8.568894924302822e-06,0.010260799738694903,1445439.77074593,0.024128829401263572,2,1,True
36,Port36_SITE0::ADC_VDD_120_VPH_HSIO/0,0.16049569858596877,8.567745253315165e-06,0.010260893146150713,1202264.43461741,0.036040772626466454,1,0,True
37,Port37_SITE0::ADC_VDD_120_VPH_PCI/0,0.02454960353681395,3.355033264111724e-05,0.006866671409231517,3019951.72040202,0.0037437198014915094,2,1,True
38,Port38_SITE0::ADC_VDD_120_VPH_UFS/0,0.15240239961963709,8.567466257914738e-06,0.010261571186843187,1318256.73855641,0.028209243429151154,2,2,True
39,Port39_SITE0::ADC_VDD_120_VP_OD_PCI/0,0.027918319424708554,3.0189223721699964e-05,0.00699610741184813,3019951.72040202,0.004490816505042557,2,1,True
40,Port40_SITE0::ADC_VDD_180_VIO_AON/0,0.09169162440320724,1.1929934463633908e-05,0.008974664865558934,2754228.70333817,0.014624010217034192,2,1,True
41,Port41_SITE0::ADC_VDD_180_VIO_LSIO/0,0.1111902125496307,1.1067453671052408e-05,0.00922971062478746,1202264.43461741,0.025535139213371274,3,2,True
42,Port42_SITE0::ADC_VDD_180_VQPS_OTP_TOP_AON/0,8220.710515255554,6.454894115065545e-10,0.08393898030513396,100000000.0,1.8364842239339583,0,0,True
43,Port43_SITE0::ADC_VDD_180_VQPS_SYS_0_AON/0,7833.859464911421,6.650398445154645e-10,0.08226166800717898,100000000.0,1.8134007444528186,0,0,True
44,Port44_SITE0::ADC_VDD_180_VQPS_SYS_1_AON/0,8233.82222557847,6.523666254291123e-10,0.08464421988384749,100000000.0,2.044848890576787,0,0,True
45,Port45_SITE0::ADC_VDD_180_VQPS_SYS_2_AON/0,8906.57158715453,6.21154373038639e-10,0.08725031595646537,100000000.0,2.1383179903762533,0,0,True
46,Port46_SITE0::ADC_VDD_180_VQPS_SYS_3_AON/0,4761.458122405675,7.794777569235131e-10,0.05824412662607046,100000000.0,1.413077131537941,0,0,True
47,Port47_SITE1::ADC_VDD_050_VDDQ_DDRH/1,0.03580948831142357,2.3646125288015345e-05,0.007351455916155955,3630780.54770102,0.003951273870380007,2,1,True
48,Port48_SITE1::ADC_VDD_050_VDDQ_DDRL/1,0.03629916352087129,2.3646862278240235e-05,0.007350823571852526,3311311.21482591,0.004740565368957649,2,1,True
49,Port49_SITE1::ADC_VDD_055_VTRIP/1,0.0004882371541890829,0.0019201649193624634,0.006760010617357987,2290867.65276777,0.00014011292237857837,3,2,True
50,Port50_SITE1::ADC_VDD_070_VAON/1,0.01162762471938257,8.191100560259254e-05,0.00760590803872459,1445439.77074593,0.0023355771398865127,3,2,True
51,Port51_SITE1_1721::ADC_VDD_070_VDDA_DDRH_REF_CLK/1,0.1702902078979041,8.567144275532262e-06,0.010259646202335796,1096478.19614319,0.04522566702053118,1,0,True
52,Port52_SITE1_19216::ADC_VDD_070_VDDA_DDRL_REF_CLK/1,0.17289047368983188,8.56747654812594e-06,0.010259228985198803,1096478.19614319,0.047858991517915374,1,1,True
53,Port53_SITE1::ADC_VDD_070_VINT/1,0.0015803339874279052,0.0006183073883103963,0.006715009487597683,2754228.70333817,0.0004391189847665661,3,2,True
54,Port54_SITE1::ADC_VDD_070_VPDIG_PHY_PCI/1,0.13018247607238073,9.429368896933394e-06,0.009843521656151029,1318256.73855641,0.02287377810696988,3,2,True
55,Port55_SITE1::ADC_VDD_070_VP_AON/1,0.15882947343294182,8.568287354166756e-06,0.010260893017849064,1202264.43461741,0.03448260557860667,2,1,True
56,Port56_SITE1::ADC_VDD_070_VP_CAM0/1,0.1598225572844547,8.56881885251898e-06,0.010258624620269198,1202264.43461741,0.03497761936862655,3,2,True
57,Port57_SITE1::ADC_VDD_070_VP_CAM12/1,0.1520878800697376,8.568758922709395e-06,0.010259381213506988,1318256.73855641,0.027443938551253336,3,2,True
58,Port58_SITE1::ADC_VDD_070_VP_HSIO/1,0.15178530954165023,8.568742683427283e-06,0.01026099162579097,1318256.73855641,0.027965943854013398,2,1,True
59,Port59_SITE1::ADC_VDD_070_VP_PCI/1,0.02427589329078561,3.3550100360027074e-05,0.0068663088562395365,3019951.72040202,0.003517502800652527,2,1,True
60,Port60_SITE1::ADC_VDD_075_VAON_SRAM/1,0.03638649429482274,2.3646524970660198e-05,0.007350454186365473,3311311.21482591,0.00481674963260387,2,1,True
61,Port61_SITE1::ADC_VDD_075_VCPU/1,0.004713421522636912,0.00019715886506605393,0.00728563871531295,2290867.65276777,0.0010023257376419218,2,1,True
62,Port62_SITE1::ADC_VDD_075_VINT_SRAM/1,0.011312912555817184,7.787120756980237e-05,0.007704297236912135,3981071.70553497,0.001153012071342932,2,1,True
63,Port63_SITE1::ADC_VDD_075_VP_UFS/1,0.15482057721740158,8.568135774321714e-06,0.010261215614549018,1202264.43461741,0.03078210377491492,2,1,True
64,Port64_SITE1::ADC_VDD_075_VTRIP_SRAM/1,0.0033607996401858295,0.0002619423201896315,0.00689417004073859,1737800.82874938,0.0007363941245334171,2,1,True
65,Port65_SITE1::ADC_VDD_105_VAA_DDRH/1,0.14200473701801283,8.56887441319944e-06,0.010261256044332092,1445439.77074593,0.018894998378187845,3,3,False
66,Port66_SITE1::ADC_VDD_105_VAA_DDRL/1,0.14238467565581284,8.568151915753953e-06,0.010261931910834618,1445439.77074593,0.01933129695978679,3,2,True
67,Port67_SITE1::ADC_VDD_105_VDD2H_DDRH/1,0.14161817955870687,8.568667165105888e-06,0.010261155211873487,1584893.19246111,0.01854954855241347,3,2,True
68,Port68_SITE1::ADC_VDD_105_VDD2H_DDRL/1,0.14147444797077205,8.568326616032644e-06,0.010261508821661474,1584893.19246111,0.018279172570038957,4,3,True
69,Port69_SITE1::ADC_VDD_120_VDDA_LSIO/1,0.16299555876083277,8.567487275350194e-06,0.010261111957486439,1202264.43461741,0.03858675779820999,1,1,True
70,Port70_SITE1::ADC_VDD_120_VDDA_P_CL1_M/1,0.16518330254840818,8.567043289695202e-06,0.01026015970270946,1096478.19614319,0.04023185440786861,2,2,False
71,Port71_SITE1::ADC_VDD_120_VDDA_P_CL1_P/1,0.16411739365244551,8.56704366600138e-06,0.010260418764507048,1202264.43461741,0.0392518286613913,2,1,False
72,Port72_SITE1::ADC_VDD_120_VDDA_P_CL2_M/1,0.14953974310194024,8.56863313399575e-06,0.010259928131298703,1318256.73855641,0.02532316769698544,3,2,True
73,Port73_SITE1::ADC_VDD_120_VDDA_P_CL2_P/1,0.14572619622979277,8.569680659014924e-06,0.01026064478968882,1445439.77074593,0.022522752967276457,3,2,True
74,Port74_SITE1::ADC_VDD_120_VDDA_P_CL3_M/1,0.14642676514959063,8.568531197192042e-06,0.010261637087395872,1445439.77074593,0.023042298161018052,2,2,False
75,Port75_SITE1::ADC_VDD_120_VDDA_P_CL3_P/1,0.14961943035825134,8.568285667503417e-06,0.010260608695979933,1445439.77074593,0.02531697261789768,3,2,False
76,Port76_SITE1::ADC_VDD_120_VDDA_P_CL4_M/1,0.13003276697638072,9.43338735367638e-06,0.009839047752845817,1318256.73855641,0.022378169315012873,3,2,True
77,Port77_SITE1::ADC_VDD_120_VDDA_P_CL4_P/1,0.15451021525026545,8.568497117274701e-06,0.01025960026498884,1318256.73855641,0.030042805481544147,3,2,True
78,Port78_SITE1::ADC_VDD_120_VDDA_P_CL5_M/1,0.14988591692854983,8.568912661767282e-06,0.010262099730636052,1445439.77074593,0.02620989383745078,2,1,True
79,Port79_SITE1::ADC_VDD_120_VDDA_P_CL5_P/1,0.16685187374439064,8.567376725980475e-06,0.010261276448799497,1202264.43461741,0.042341272554432194,1,0,True
80,Port80_SITE1::ADC_VDD_120_VPH_AON/1,0.15141712421342232,8.56828667071729e-06,0.010261325605604622,1318256.73855641,0.027466716213499724,2,2,False
81,Port81_SITE1::ADC_VDD_120_VPH_CAM/1,0.14846485600065962,8.568745637469511e-06,0.010260618303961026,1318256.73855641,0.024711818938397037,2,1,True
82,Port82_SITE1::ADC_VDD_120_VPH_HSIO/1,0.16369608213784523,8.567424110867715e-06,0.010260024437142825,1096478.19614319,0.038850187268178495,3,3,True
83,Port83_SITE1::ADC_VDD_120_VPH_PCI/1,0.02445095630133504,3.355027499012342e-05,0.006866519996161991,3019951.72040202,0.003742736859167787,2,1,True
84,Port84_SITE1::ADC_VDD_120_VPH_UFS/1,0.15162315857639033,8.567859775818731e-06,0.010261675057789554,1318256.73855641,0.027677838404550206,2,1,True
85,Port85_SITE1::ADC_VDD_120_VP_OD_PCI/1,0.02766580041793148,3.0189204180480278e-05,0.006996046612622031,3019951.72040202,0.004293924043737116,2,1,True
86,Port86_SITE1::ADC_VDD_180_VIO_AON/1,0.09255341425131987,1.1929761483091193e-05,0.008975423250655467,3311311.21482591,0.014671636951560105,2,1,True
87,Port87_SITE1::ADC_VDD_180_VIO_LSIO/1,0.11062686214487716,1.1067287257509725e-05,0.009229827131618743,1202264.43461741,0.02501356483304471,3,2,True
88,Port88_SITE1::ADC_VDD_180_VQPS_OTP_TOP_AON/1,2896.045163002892,1.1133608784379283e-09,0.0503765316992173,100000000.0,0.7797547932758977,0,0,True
89,Port89_SITE1::ADC_VDD_180_VQPS_SYS_0_AON/1,3410.998945782474,1.0068599589016173e-09,0.05389371994266437,100000000.0,0.9781478393332069,0,0,True
90,Port90_SITE1::ADC_VDD_180_VQPS_SYS_1_AON/1,3602.860466229654,9.920318738277528e-10,0.055824611406844124,100000000.0,1.1861946199016453,0,0,True
91,Port91_SITE1::ADC_VDD_180_VQPS_SYS_2_AON/1,3419.0760054203024,1.023139885864382e-09,0.0547276729500905,100000000.0,1.0939422581292138,0,0,True
92,Port92_SITE1::ADC_VDD_180_VQPS_SYS_3_AON/1,1526.8357660561257,1.411858457685444e-09,0.033068459735066696,100000000.0,0.462108770728657,0,0,True
