port,name,R_eff_ohm,C_eff_F,fit_resid_rel,f_min_Hz,Zmag_min_ohm,n_local_minima,n_local_maxima,ReZ_ii_ge0_all
1,Port1_U1_0::ADC_AVDD08_LO/0,0.6624272859430347,5.728097227164329e-07,0.003704068956191285,6309573.44480193,0.008452868662631422,1,0,True
2,Port2_U1_0::ADC_AVDD08_LO/1,0.6639994516310957,5.73160426525563e-07,0.0037141687148831305,6309573.44480193,0.008283063873002752,1,1,True
3,Port3_U1_0::ADC_AVDD08_LO/2,0.6629203672048377,5.728636524355386e-07,0.0037010782449357865,6309573.44480193,0.009818098406516896,1,0,True
4,Port4_U1_0::ADC_AVDD08_LO/3,0.6669373578925958,5.738146936836642e-07,0.0037261913863501587,6309573.44480193,0.00928588442167534,1,1,True
5,Port5_U1_0::ADC_AVDD08_LO/4,0.6747830757498842,5.75230482105941e-07,0.0037527328191574614,5248074.60249772,0.010856151794228629,2,1,True
6,Port6_U1_0::ADC_AVDD08_LO/5,0.67365256511804,5.749085326780809e-07,0.0037540332892765775,5248074.60249772,0.010393711598219772,2,1,True
7,Port7_U1_0::ADC_AVDD08_LO/6,0.6749280242636047,5.75208260459331e-07,0.003762570822411384,5248074.60249772,0.010542000980039283,2,1,True
8,Port8_U1_0::ADC_AVDD08_LO/7,0.6704884193360479,5.742741206928897e-07,0.0037347893085907112,5248074.60249772,0.010533653709531576,2,1,True
9,Port9_U1_0::ADC_AVDD08_LO/8,0.6708900836426233,5.741343205895917e-07,0.0037334280654943517,5248074.60249772,0.01222975845624417,1,1,True
10,Port10_U1_0::ADC_AVDD08_LO/9,0.6728099166784438,5.744760385164427e-07,0.003743662600313714,4786300.92322638,0.011940012165354182,2,1,True
11,Port11_U1_0::ADC_AVDD08_LO/10,0.6709584871913459,5.742111530987688e-07,0.003735148289518256,5248074.60249772,0.011079853683509914,1,1,True
12,Port12_U1_0::ADC_AVDD08_LO/11,0.672799391154574,5.744921266404075e-07,0.003745537070727785,4786300.92322638,0.012246716950725373,2,1,True
13,Port13_U1_0::ADC_AVDD08_LO/12,0.6689253539680469,5.737580423180883e-07,0.0037257465965277988,5248074.60249772,0.010963488706570544,2,1,True
14,Port14_U1_0::ADC_AVDD08_LO/13,0.6675739783914083,5.733794987334589e-07,0.003719950533612435,5248074.60249772,0.010917659141621398,1,1,True
15,Port15_U1_0::ADC_AVDD08_LO/14,0.6688743667988518,5.737171735137586e-07,0.0037275027953482557,5248074.60249772,0.010795413717891113,2,1,True
16,Port16_U1_0::ADC_AVDD08_LO/15,0.667575984686685,5.73387101274023e-07,0.003719279457651415,5248074.60249772,0.011264535427776475,1,1,True
17,Port17_U1_0::ADC_AVDD08_LO/16,0.6659322676703336,5.730953200830977e-07,0.0037132431232866424,5248074.60249772,0.010488782981445184,1,1,True
18,Port18_U1_0::ADC_AVDD08_LO/17,0.6645079818968581,5.727814503229999e-07,0.0037038889097914043,5248074.60249772,0.01068447397379361,1,1,True
19,Port19_U1_0::ADC_AVDD08_LO/18,0.6667730727145653,5.732685571167363e-07,0.0037158009304966433,5248074.60249772,0.0108655510824303,1,1,True
20,Port20_U1_0::ADC_AVDD08_LO/19,0.6700096303572677,5.739621686129624e-07,0.00373155768551808,5248074.60249772,0.011348458953921666,1,1,True
21,Port21_U1_0::ADC_AVDD08_LO/20,0.6732043459172135,5.748220027300509e-07,0.00375187642029424,5248074.60249772,0.010539024125959869,2,1,True
22,Port22_U1_0::ADC_AVDD08_LO/21,0.6749936782294202,5.751473416573571e-07,0.003759971947184681,5248074.60249772,0.010668558546303095,2,1,True
