rank,port_num,port_name,Re_Z1,Im_Z1,Re_Z2,Im_Z2,relmag_change
1,43,Port43_SITE0::ADC_VDD_180_VQPS_SYS_0_AON/0,0.9701540898509253,-242.38224177352168,0.8776042865777426,-86.81136534565559,0.6418360382386243
2,92,Port92_SITE1::ADC_VDD_180_VQPS_SYS_3_AON/1,0.47832398964507006,-112.93215754186356,0.443545927481522,-41.539861759240786,0.6321641722501107
3,46,Port46_SITE0::ADC_VDD_180_VQPS_SYS_3_AON/0,0.843170776265812,-205.3571427773251,0.7756366816432974,-75.56793081740976,0.6320117906863192
4,42,Port42_SITE0::ADC_VDD_180_VQPS_OTP_TOP_AON/0,1.0028554907577916,-249.81073910073346,0.9299629302273972,-92.01213899189425,0.6316675816053126
5,88,Port88_SITE1::ADC_VDD_180_VQPS_OTP_TOP_AON/1,0.5876629833257377,-143.6374650527084,0.551187855858058,-53.32345014046983,0.62875842584268
6,89,Port89_SITE1::ADC_VDD_180_VQPS_SYS_0_AON/1,0.6441070567211528,-158.91296228099367,0.6051752855509431,-59.01839906437546,0.6286066839429245
7,22,Port22_SITE0::ADC_VDD_105_VDD2H_DDRL/0,0.018102966709402805,-0.012556375282255451,0.009434649425612448,-0.0094774720573109,0.41753604222730323
8,20,Port20_SITE0::ADC_VDD_105_VAA_DDRL/0,0.019238261267800365,-0.0124454937095793,0.010226823712933732,-0.00955906394567694,0.4129736790555371
9,21,Port21_SITE0::ADC_VDD_105_VDD2H_DDRH/0,0.018702332391228416,-0.012543722230207771,0.00993131128076989,-0.009687072394705355,0.4096247251967775
10,67,Port67_SITE1::ADC_VDD_105_VDD2H_DDRH/1,0.016548920352490844,-0.014131893961328603,0.0087249629948464,-0.0098739310972113,0.4093202017346991
